label,timestamp,duration,pkg,socket
stress,1712154275.2090106,10003582.246,814235037.0,0
stress,1712154336.9350955,10003343.816,816898604.0,0
stress,1712161518.6064746,10002296.653,1056442852.0,0
stress,1712164171.6004386,10002380.856,1064030724.0,0
stress,1712164227.9341002,10001205.193,1083293492.0,0
stress,1712164500.238721,10002332.763,1135814414.0,0
nginx,1712164657.4384701,10151998.103,138931102.0,0
stress,1712164771.3992047,10002918.479,1084437348.0,0
nginx,1712164827.9276035,10115406.413,300365747.0,0
